AUTHOR,40
COMPLETELISTSIZE,780
CONTENT,5337
CONTRIBUTOR,3016
COVERAGE,28
CREATOR,124303
CURSOR,780
DATE,54277
DATE.TAKEN,40
DC:CONTRIBUTOR,259
DC:CREATOR,2002
DC:FORMAT,13121
DC:RELATION,7259
DC:SUBJECT,10776
DESCRIPTION,101940
EXPIRATIONDATE,752
FILESIZE,271
FLICKR:DATE_TAKEN,5226
FLICKR:PROFILE,40
FORMAT,44927
HTML:UL,1
IDENTIFIER.URI,3637
ISPERMALINK,7127
ITUNES:DURATION,2487
ITUNES:EXPLICIT,274
ITUNES:ORDER,2574
ITUNES:SUBTITLE,2693
ITUNESU:CODE,2522
LANGUAGE,15798
LICENSE,107415
MEDIA:CREDIT,40
MEDIA:DESCRIPTION,40
MEDIA:TITLE,21
MEDIUM,22
METADATAPREFIX,223
NAME,5226
NEWSID,194
PUBDATE,5120
PUBLISHED,8036
PUBLISHED822,2724
PUBLISHER,15971
RELATION,44405
ROLE,40
SCHEME,7990
STRONG,1
SUBJECT,437447
TITLE,80635
TYPE,65444
UPDATE_TIME,194
VERB,873
XML:LANG,35058
XS:SCHEMALOCATION,4400
XSI:SCHEMALOCATION,33798
